Weekly CIS 4980 Spring 2025 Capstone Schedule with GSU Cybersecurity Team,,,,
Course Work During Week of:,,,,
,Assignment,Training Source,Method of Delivery,Presenter
"Sunday, 01/26/2025",Study: AWS Academy Cloud Foundations Class: Modules 1-3,https://www.awsacademy.com/,Self-Study,AWS Academy Website
,,,,
"Sunday, 02/02/2025",Study: AWS Academy Cloud Foundations Class: Modules 4-6,https://www.awsacademy.com/,Self-Study,AWS Academy Website
,,,,
"Sunday, 02/09/2025",Study: AWS Academy Cloud Foundations Class: Modules 7-10,https://www.awsacademy.com/,Self-Study,AWS Academy Website
,Weekly Review Session: AWS Academy Cloud Foundations Class: Modules 1-6,GSU Cybersecurity Team,Online Meeting,Schmohn Comar
,,,,
"Sunday, 02/16/2025",Study: NIST Risk Management Framework: RMF Introductory Course: NIST SP 800-37,https://csrc.nist.gov/projects/risk-management/rmf-courses,Self-Study,NIST Website
,Study: NIST Risk Management Framework: Security and Privacy Controls Introductory Course: NIST SP 800-53,https://csrc.nist.gov/projects/risk-management/rmf-courses,Self-Study,NIST Website
,Study: NIST Risk Management Framework: Assessing Security and Privacy Controls Introductory Course: NIST SP 800-53A,https://csrc.nist.gov/projects/risk-management/rmf-courses,Self-Study,NIST Website
,Study: NIST Risk Management Framework: Control Baselines Introductory Course: NIST SP 800-53B,https://csrc.nist.gov/projects/risk-management/rmf-courses,Self-Study,NIST Website
,Weekly Review Session: AWS Academy Cloud Foundations Class: Modules 7-10,GSU Cybersecurity Team,Online Meeting,Schmohn Comar
,,,,
"Sunday, 02/23/2025",Study: NIST Risk Management Framework: RMF Introductory Course: NIST SP 800-37,https://csrc.nist.gov/projects/risk-management/rmf-courses,Self-Study,NIST Website
,Study: NIST Risk Management Framework: Security and Privacy Controls Introductory Course: NIST SP 800-53,https://csrc.nist.gov/projects/risk-management/rmf-courses,Self-Study,NIST Website
,Study: NIST Risk Management Framework: Assessing Security and Privacy Controls Introductory Course: NIST SP 800-53A,https://csrc.nist.gov/projects/risk-management/rmf-courses,Self-Study,NIST Website
,Study: NIST Risk Management Framework: Control Baselines Introductory Course: NIST SP 800-53B,https://csrc.nist.gov/projects/risk-management/rmf-courses,Self-Study,NIST Website
,Study: Use Case: Cloud Risk Assessment: A Practical Step-by-Step Guide - Part #1,https://medium.com/@hariharasudhannayar/cloud-risk-assessment-a-step-by-step-guide-part-1-e1968adb7f06,Self-Study,Internet
,Study: Use Case: Cloud Risk Assessment: A Practical Step-by-Step Guide - Part #2,https://medium.com/@hariharasudhannayar/cloud-risk-assessment-a-step-by-step-guide-part-2-0ddcf95cb569,Self-Study,Internet
,Study: Use Case: Cloud Risk Assessment: A Practical Step-by-Step Guide - Part #3,https://medium.com/@hariharasudhannayar/cloud-risk-assessment-a-step-by-step-guide-part-3-3cab77473d60,Self-Study,Internet
,Study: AWS Academy Cloud Security Foundations Class: Modules 1-4,https://www.awsacademy.com/,Self-Study,AWS Academy Website
